Times;Class_based_Speed;First_Classification;Snd_Classification;Heuristic_correction;States_REAL;States_Simio;Speed(km/h)
727;0;0;0;0;0;0;0
728;0;0;0;0;0;0;0
729;0;0;0;0;0;0;0
730;0;0;0;0;0;0;0
731;0;0;0;0;0;0;0
732;1;0;0;0;0;0;1
733;0;0;0;0;0;0;0
734;0;0;0;0;0;0;0
735;0;0;0;0;0;0;0
736;0;0;0;0;0;0;0
737;0;0;0;0;0;0;0
738;0;0;0;0;0;0;0
739;0;0;0;0;0;0;0
740;0;0;0;0;0;0;0
741;0;0;0;0;0;0;0
742;0;0;0;0;0;0;0
743;0;0;0;0;0;0;0
744;0;0;0;0;0;0;0
745;0;0;0;0;0;0;0
746;0;0;0;0;0;0;0
747;0;0;0;0;0;0;0
748;0;0;0;0;0;0;0
749;0;1;0;0;0;0;0
750;0;1;0;0;0;0;0
751;0;1;0;0;0;0;0
752;0;1;0;0;0;0;0
753;0;1;0;0;0;0;0
754;0;1;0;0;0;0;0
755;0;1;0;0;0;0;0
756;1;1;0;0;0;0;1
757;1;1;0;0;0;0;1
758;1;1;0;0;0;0;1
759;0;1;0;0;0;0;0
760;0;1;0;0;0;0;0
761;0;1;0;0;0;0;0
762;0;1;0;0;0;0;0
763;0;1;0;0;0;0;0
764;0;1;0;0;0;0;0
765;1;1;0;0;0;0;1
766;1;1;0;0;0;0;1
767;0;1;0;0;0;0;0
768;0;1;0;0;0;0;0
769;0;1;0;0;0;0;0
770;0;1;0;0;0;0;0
771;1;1;0;0;0;0;1
772;1;1;0;0;0;0;1
773;1;1;0;0;0;0;1
774;1;1;0;0;0;0;1
775;0;1;0;0;0;0;0
776;1;1;0;0;0;0;1
777;1;1;0;0;0;0;2
778;1;1;0;0;0;0;4
779;1;1;0;0;0;0;4
780;1;1;0;0;0;0;4
781;1;1;0;0;0;0;3
782;1;1;0;0;0;0;3
783;1;1;0;0;0;0;3
784;1;1;0;0;0;0;3
785;1;1;0;0;0;0;3
786;1;1;0;0;0;0;2
787;1;1;0;0;0;0;1
788;0;1;0;0;0;0;0
789;0;1;0;0;0;0;0
790;0;1;0;0;0;0;0
791;0;1;0;0;0;0;0
792;0;1;0;0;0;0;0
793;0;1;0;0;0;0;0
794;0;1;0;0;0;0;0
795;1;1;0;0;0;0;1
796;0;0;0;0;0;0;0
797;0;0;0;0;0;0;0
798;0;0;0;0;0;0;0
799;0;0;0;0;0;0;0
800;0;0;0;0;0;0;0
801;0;0;0;0;0;0;0
802;0;0;0;0;0;0;0
803;0;0;0;0;0;0;0
804;0;0;0;0;0;0;0
805;0;0;0;0;0;0;0
806;1;0;0;0;0;0;1
807;0;0;0;0;0;0;0
808;0;0;0;0;0;0;0
809;0;0;0;0;0;0;0
810;1;0;0;0;0;0;1
811;0;0;0;0;0;0;0
812;0;0;0;0;0;0;0
813;0;0;0;0;0;0;0
814;0;0;0;0;0;0;0
815;0;0;0;0;0;0;0
816;0;0;0;0;0;0;0
817;0;0;0;0;0;0;0
818;0;0;0;0;0;0;0
